Name,,Open,Close,Change
UNH,5/1/2013,59.96,59.72,-0.40%
UNH,5/1/2013,59.96,59.72,-0.40%
UNH,5/17/2013,62.25,62.84,0.95%
UNH,5/20/2013,62.73,62.56,-0.27%
UNH,5/24/2013,62.02,62.06,0.06%
UNH,6/3/2013,62.89,62.8,-0.14%
UNH,6/5/2013,63.01,61.75,-2.00%
UNH,6/7/2013,62.27,62.57,0.48%
UNH,6/10/2013,62.58,63.68,1.76%
UNH,6/11/2013,63.15,63.93,1.24%
UNH,6/13/2013,63.7,64.15,0.71%
UNH,6/17/2013,64.29,64.37,0.12%
UNH,6/22/2013,,,closed
UNH,6/24/2013,63.49,64.65,1.83%
UNH,6/25/2013,65.03,63.73,-2.00%
UNH,7/15/2013,68.13,67.62,-0.75%
UNH,7/18/2013,69.35,70.55,1.73%
UNH,7/18/2013,69.35,70.55,1.73%
UNH,7/21/2013,,,closed
UNH,7/23/2013,72.21,72.69,0.66%
UNH,8/8/2013,73.15,73.18,0.04%
UNH,8/14/2013,73.19,72.49,-0.96%
UNH,8/14/2013,73.19,72.49,-0.96%
UNH,8/23/2013,72.01,72.54,0.74%
UNH,8/27/2013,71.95,71.52,-0.60%
UNH,9/10/2013,74.6,74.63,0.04%
UNH,9/11/2013,74.58,75.18,0.80%
UNH,9/12/2013,75.32,74.74,-0.77%
UNH,9/18/2013,74.15,73.04,-1.50%
UNH,9/20/2013,70.55,70.57,0.03%
UNH,9/24/2013,72.18,72.32,0.19%
UNH,10/1/2013,71.74,72.58,1.17%
UNH,10/15/2013,74.51,73.87,-0.86%
UNH,10/17/2013,71.77,71.37,-0.56%
UNH,10/17/2013,71.77,71.37,-0.56%
UNH,10/18/2013,71.26,68.76,-3.51%
UNH,10/25/2013,67.51,67.62,0.16%
UNH,11/7/2013,70.9,69.76,-1.61%
UNH,11/8/2013,69.7,70.5,1.15%
UNH,11/11/2013,70.73,70.5,-0.33%
UNH,11/14/2013,71.34,71.44,0.14%
UNH,11/17/2013,,,closed
UNH,11/18/2013,71.97,71.68,-0.40%
UNH,11/20/2013,71.88,71.98,0.14%
UNH,11/21/2013,72.39,72.91,0.72%
UNH,11/30/2013,,,closed
UNH,12/3/2013,74.14,73.73,-0.55%
UNH,12/7/2013,,,closed
UNH,12/10/2013,73.7,74.05,0.47%
UNH,12/10/2013,73.7,74.05,0.47%
UNH,12/11/2013,74.08,72.14,-2.62%
UNH,12/17/2013,71.22,70.73,-0.69%
UNH,12/19/2013,72.17,72.39,0.30%
UNH,12/23/2013,73.84,74.35,0.69%
UNH,12/30/2013,74.85,74.78,-0.09%
UNH,5/6/2013,59.38,60.2,1.38%
UNH,5/8/2013,60.32,62.51,3.63%
UNH,5/14/2013,62.3,61.73,-0.91%
UNH,5/22/2013,62,62.28,0.45%
UNH,5/28/2013,62.49,63.34,1.36%
UNH,5/30/2013,63.43,64.66,1.94%
UNH,6/3/2013,62.89,62.8,-0.14%
UNH,6/7/2013,62.27,62.57,0.48%
UNH,6/12/2013,64.24,63.83,-0.64%
UNH,6/20/2013,64.8,63.8,-1.54%
UNH,6/24/2013,63.49,64.65,1.83%
UNH,7/10/2013,68,67.69,-0.46%
